Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code_2;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;f_is_exchanged;f_invc_full_name;КВАЛ;Торговый календарь
1361;RIDE;Lordstown Motors Corp.;Акции;Акции иностранного эмитента обыкновенные класса A;;US54405Q1004;ESVUFR;1,00;0,01;USD;01.06.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1362;RIG;Transocean Ltd.;Акции;Акции иностранного эмитента обыкновенные;;CH0048265513;ESVTFR;1,00;0,01;USD;01.06.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
1363;RIO;JPMorgan Chase Bank, N.A.;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции обыкновенные;Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций  Rio Tinto plc;US7672041008;EDSXFR;1,00;0,01;USD;26.07.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
1364;RIOT;Riot Blockchain, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US7672921050;ESVUFR;1,00;0,01;USD;10.11.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1365;RIVN;Rivian Automotive, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US76954A1034;ESVUFR;1,00;0,01;USD;17.11.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1366;RJF;Raymond James Financial, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US7547301090;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
1367;RKLB;Rocket Lab USA, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US7731221062;ESVUFR;1,00;0,01;USD;28.12.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1368;RL;Ralph Lauren Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US7512121010;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
1369;RMD;ResMed Inc.;Акции;Акции иностранного эмитента обыкновенные;;US7611521078;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1370;RNG;RingCentral, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US76680R2067;ESVUFR;1,00;0,01;USD;05.08.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1371;RNR;RenaissanceRe Holdings Ltd.;Акции;Акции иностранного эмитента обыкновенные;;BMG7496G1033;ESVUFR;1,00;0,01;USD;26.10.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1372;ROCK;Gibraltar Industries, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3746891072;ESVUFR;1,00;0,01;USD;11.06.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1373;ROG;Rogers Corporation;Акции;Акции иностранного эмитента обыкновенные;;US7751331015;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1374;ROK;Rockwell Automation, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US7739031091;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
1375;ROKU;Roku, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US77543R1023;ESVUFR;1,00;0,01;USD;11.06.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1376;ROL;Rollins, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US7757111049;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1377;ROP;Roper Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US7766961061;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
1378;ROST;Ross Stores, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US7782961038;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
1379;RPD;Rapid7, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US7534221046;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
