Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code_2;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;f_is_exchanged;f_invc_full_name;КВАЛ;Торговый календарь
1;1;CK Hutchison Holdings Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG217651051;ESVUFR;10,00;0,05;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
2;1113;CK Asset Holdings Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG2177B1014;ESVUFR;10,00;0,05;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
3;1177;Sino Biopharmaceutical Limited ;Акции;Акции иностранного эмитента обыкновенные;;KYG8167W1380;ESVUFR;100,00;0,01;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
4;1810;Xiaomi Corporation;Акции;Акции иностранного эмитента обыкновенные класса B;;KYG9830T1067;ESVUFR;100,00;0,01;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
5;1928;Sands China Ltd.;Акции;Акции иностранного эмитента обыкновенные;;KYG7800X1079;ESVUFR;100,00;0,01;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
6;1COV@DE;Covestro AG;Акции;Акции иностранного эмитента обыкновенные;;DE0006062144;ESVUFB;1,00;0,01;EUR;01.03.2021 0:00:00;;;НЕТ;Эмитенты с листингом в ФРГ
7;2007;Country Garden Holdings Company Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG245241032;ESRUFR;100,00;0,01;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
8;2382;Sunny Optical Technology (Group) Company Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG8586D1097;ESVTFR;10,00;0,05;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
9;288;WH Group Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG960071028;ESVUFR;100,00;0,01;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
10;3690;Meituan;Акции;Акции иностранного эмитента обыкновенные класса B;;KYG596691041;ESVUFR;10,00;0,1;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
11;700;Tencent Holdings Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG875721634;ESVUFR;1,00;0,2;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
12;9618;JD.com, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;KYG8208B1014;ESVUFR;10,00;0,2;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
13;9988;Alibaba Group Holding Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG017191142;ESVUFR;10,00;0,05;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
14;A;Agilent Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00846U1016;ESVUFN;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
15;AA;Alcoa Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0138721065;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
16;AAL;American Airlines Group Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02376R1023;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
17;AAN;The Aaron’s Company, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00258W1080;ESVUFR;1,00;0,01;USD;10.12.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
18;AAON;AAON, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0003602069;ESVUFR;1,00;0,01;USD;13.10.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
19;AAP;Advance Auto Parts, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00751Y1064;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
20;AAPL;Apple Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0378331005;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00;;;НЕТ;Эмитенты с листингом в США
21;AAWW;Atlas Air Worldwide Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0491642056;ESVUFR;1,00;0,01;USD;08.08.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
22;ABBV;AbbVie Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00287Y1091;ESVXFR;1,00;0,01;USD;28.11.2014 0:00:00;;;НЕТ;Эмитенты с листингом в США
23;ABC;AmerisourceBergen Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03073E1055;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
24;ABCB;Ameris Bancorp;Акции;Акции иностранного эмитента обыкновенные;;US03076K1088;ESVUFR;1,00;0,01;USD;18.07.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
25;ABCL;AbCellera Biologics Inc.;Акции;Акции иностранного эмитента обыкновенные;;CA00288U1066;ESVUFR;1,00;0,01;USD;10.11.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
26;ABG;Asbury Automotive Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0434361046;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
27;ABM;ABM Industries Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US0009571003;ESVUFR;1,00;0,01;USD;18.07.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
28;ABMD;ABIOMED, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0036541003;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
29;ABNB;Airbnb, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US0090661010;ESVUFR;1,00;0,01;USD;10.12.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
30;ABR;Arbor Realty Trust, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0389231087;ESVUFR;1,00;0,01;USD;18.07.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
31;ABT;Abbott Laboratories;Акции;Акции иностранного эмитента обыкновенные;;US0028241000;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
32;ACAD;ACADIA Pharmaceuticals Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0042251084;ESVUFR;1,00;0,01;USD;05.08.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
33;ACGL;Arch Capital Group Ltd.;Акции;Акции иностранного эмитента обыкновенные;;BMG0450A1053;ESVUFR;1,00;0,01;USD;26.10.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
34;ACI;Albertsons Companies, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US0130911037;ESVUFR;1,00;0,01;USD;08.08.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
35;ACIW;ACI Worldwide, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0044981019;ESVUFR;1,00;0,01;USD;04.12.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
36;ACLS;Axcelis Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0545402085;ESVUFR;1,00;0,01;USD;28.01.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
37;ACM;AECOM;Акции;Акции иностранного эмитента обыкновенные;;US00766T1007;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
38;ACMR;ACM Research, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US00108J1097;ESVUFR;1,00;0,01;USD;29.07.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
39;ACN;Accenture plc;Акции;Акции иностранного эмитента обыкновенные класса A;;IE00B4BNMY34;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
40;ADBE;Adobe Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00724F1012;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
41;ADI;Analog Devices, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0326541051;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
42;ADM;Archer-Daniels-Midland Company;Акции;Акции иностранного эмитента обыкновенные;;US0394831020;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
43;ADP;Automatic Data Processing, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0530151036;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
44;ADPT;Adaptive Biotechnologies Corporation;Акции;Акции иностранного эмитента обыкновенные;;US00650F1093;ESVUFR;1,00;0,01;USD;04.12.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
45;ADS@DE;adidas AG;Акции;Акции иностранного эмитента обыкновенные;;DE000A1EWWW0;ESVUFR;1,00;0,01;EUR;29.09.2020 0:00:00;;;НЕТ;Эмитенты с листингом в ФРГ
46;ADSK;Autodesk, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0527691069;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
47;ADUS;Addus HomeCare Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0067391062;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
48;AEE;Ameren Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0236081024;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
49;AEIS;Advanced Energy Industries, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0079731008;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
50;AEM;Agnico Eagle Mines Limited;Акции;Акции иностранного эмитента обыкновенные;;CA0084741085;ESVUFR;1,00;0,01;USD;28.01.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
51;AEO;American Eagle Outfitters, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02553E1064;ESVUFR;1,00;0,01;USD;04.12.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
52;AEP;American Electric Power Company, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0255371017;ESVUFR;1,00;0,01;USD;18.07.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
53;AER;AerCap Holdings N.V.;Акции;Акции иностранного эмитента обыкновенные;;NL0000687663;ESVUFN;1,00;0,01;USD;28.01.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
54;AERI;Aerie Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00771V1089;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
55;AES;The AES Corporation;Акции;Акции иностранного эмитента обыкновенные;;US00130H1059;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
56;AFG;American Financial Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0259321042;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
57;AFL;Aflac Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US0010551028;ESEUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
58;AFMD;Affimed N.V.;Акции;Акции иностранного эмитента обыкновенные;;NL0010872420;ESVUFN;1,00;0,01;USD;01.06.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
59;AFRM;Affirm Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US00827B1061;ESVUFR;1,00;0,01;USD;26.10.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
60;AFX@DE;Carl Zeiss Meditec AG;Акции;Акции иностранного эмитента обыкновенные;;DE0005313704;ESVUFB;1,00;0,01;EUR;21.08.2020 0:00:00;;;НЕТ;Эмитенты с листингом в ФРГ
61;AG;First Majestic Silver Corp.;Акции;Акции иностранного эмитента обыкновенные;;CA32076V1031;ESVUFR;1,00;0,01;USD;28.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
62;AGCO;AGCO Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0010841023;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
63;AGIO;Agios Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00847X1046;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
64;AGNC;AGNC Investment Corp.;Акции;Акции иностранного эмитента обыкновенные;;US00123Q1040;ESVUFR;1,00;0,01;USD;28.01.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
65;AI;C3.ai, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US12468P1049;ESVUFR;1,00;0,01;USD;27.08.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
66;AIG;American International Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0268747849;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
67;AIN;Albany International Corp.;Акции;Акции иностранного эмитента обыкновенные класса A;;US0123481089;ESVUFR;1,00;0,01;USD;29.07.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
68;AIR;AAR CORP.;Акции;Акции иностранного эмитента обыкновенные;;US0003611052;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
69;AIRC;Apartment Income REIT Corp.;Акции;Акции иностранного инвестиционного фонда класса A;;US03750L1098;CBCJXS;1,00;0,01;USD;30.12.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
70;AIT;Applied Industrial Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03820C1053;ESVUFR;1,00;0,01;USD;13.10.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
71;AIV;Apartment Investment & Management Company;Акции;Акции иностранного эмитента обыкновенные класса A;;US03748R7474;ESVUFR;1,00;0,01;USD;08.12.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
72;AIZ;Assurant, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US04621X1081;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
73;AJG;Arthur J. Gallagher & Co.;Акции;Акции иностранного эмитента обыкновенные;;US3635761097;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
74;AJRD;Aerojet Rocketdyne Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0078001056;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
75;AKAM;Akamai Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00971T1016;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
76;ALB;Albemarle Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0126531013;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
77;ALC;Alcon Inc.;Акции;Акции иностранного эмитента обыкновенные;;CH0432492467;ESVUFR;1,00;0,01;USD;28.12.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
78;ALE;ALLETE, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0185223007;ESVUFR;1,00;0,01;USD;29.07.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
79;ALEC;Alector, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0144421072;ESVUFR;1,00;0,01;USD;01.06.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
80;ALG;Alamo Group Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0113111076;ESVUFR;1,00;0,01;USD;29.07.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
81;ALGN;Align Technology, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0162551016;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
82;ALGT;Allegiant Travel Company;Акции;Акции иностранного эмитента обыкновенные;;US01748X1028;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
83;ALIT;Alight, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US01626W1018;ESVUFR;1,00;0,01;USD;10.11.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
84;ALK;Alaska Air Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0116591092;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
85;ALL;The Allstate Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0200021014;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
86;ALLE;Allegion Public Limited Company;Акции;Акции иностранного эмитента обыкновенные;;IE00BFRT3W74;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
87;ALLK;Allakos Inc.;Акции;Акции иностранного эмитента обыкновенные;;US01671P1003;ESVUFR;1,00;0,01;USD;11.06.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
88;ALLO;Allogene Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0197701065;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
89;ALLY;Ally Financial Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02005N1000;ESVUFR;1,00;0,01;USD;04.12.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
90;ALNY;Alnylam Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02043Q1076;ESVUFR;1,00;0,01;USD;05.08.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
91;ALRM;Alarm.com Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0116421050;ESVTFR;1,00;0,01;USD;11.06.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
92;ALSN;Allison Transmission Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US01973R1014;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
93;ALTR;Altair Engineering Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US0213691035;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
94;ALV;Autoliv, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0528001094;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
95;ALV@DE;Allianz SE;Акции;Акции иностранного эмитента обыкновенные;;DE0008404005;ESVTFR;1,00;0,01;EUR;01.03.2021 0:00:00;;;НЕТ;Эмитенты с листингом в ФРГ
96;ALXO;ALX Oncology Holdings Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00166B1052;ESVUFR;1,00;0,01;USD;01.06.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
97;AM;Antero Midstream Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03676B1026;ESVUFR;1,00;0,01;USD;18.07.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
98;AMAT;Applied Materials, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0382221051;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
99;AMBA;Ambarella, Inc.;Акции;Акции иностранного эмитента обыкновенные;;KYG037AX1015;ESVUFR;1,00;0,01;USD;28.01.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
100;AMCR;Amcor plc;Акции;Акции иностранного эмитента обыкновенные;;JE00BJ1F3079;ESVUFR;1,00;0,01;USD;28.12.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
101;AMCX;AMC Networks Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US00164V1035;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
102;AMD;Advanced Micro Devices, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0079031078;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
103;AME;AMETEK, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0311001004;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
104;AMED;Amedisys, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0234361089;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
105;AMEH;Apollo Medical Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03763A2078;ESVUFR;1,00;0,01;USD;10.11.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
106;AMG;Affiliated Managers Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0082521081;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
107;AMGN;Amgen Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0311621009;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
108;AMH;American Homes 4 Rent;Акции;Акции иностранного эмитента обыкновенные класса A;;US02665T3068;ESVUFR;1,00;0,01;USD;26.10.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
109;AMN;AMN Healthcare Services, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0017441017;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
110;AMP;Ameriprise Financial, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03076C1062;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
111;AMSF;AMERISAFE, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03071H1005;ESVUFR;1,00;0,01;USD;29.07.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
112;AMT;American Tower Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03027X1000;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
113;AMTI;Applied Molecular Transport Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03824M1099;ESVUFR;1,00;0,01;USD;01.06.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
114;AMWD;American Woodmark Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0305061097;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
115;AMZN;Amazon.com, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0231351067;ESVUFR;1,00;0,01;USD;06.10.2015 0:00:00;;;НЕТ;Эмитенты с листингом в США
116;AN;AutoNation, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US05329W1027;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
117;ANAB;AnaptysBio, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0327241065;ESVUFR;1,00;0,01;USD;11.06.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
118;ANDE;The Andersons, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0341641035;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
119;ANET;Arista Networks, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0404131064;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
120;ANF;Abercrombie & Fitch Co.;Акции;Акции иностранного эмитента обыкновенные класса A;;US0028962076;ESVUFR;1,00;0,01;USD;04.12.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
121;ANGI;Angi Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US00183L1026;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
122;ANIK;Anika Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0352551081;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
123;ANIP;ANI Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00182C1036;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
124;ANSS;ANSYS, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03662Q1058;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
125;AON;Aon plc;Акции;Акции иностранного эмитента обыкновенные класса A;;IE00BLP1HW54;ESVUFR;1,00;0,01;USD;03.04.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
126;AORT;Artivion, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2289031005;ESVUFR;1,00;0,01;USD;28.01.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
127;AOS;A. O. Smith Corporation;Акции;Акции иностранного эмитента обыкновенные;;US8318652091;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
128;AOSL;Alpha and Omega Semiconductor Limited;Акции;Акции иностранного эмитента обыкновенные;;BMG6331P1041;ESVUFR;1,00;0,01;USD;08.08.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
129;AOUT;American Outdoor Brands, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02875D1090;ESVUFR;1,00;0,01;USD;27.08.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
130;APA;APA Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03743Q1085;ESVUFR;1,00;0,01;USD;09.03.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
131;APAM;Artisan Partners Asset Management Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US04316A1088;ESVUFR;1,00;0,01;USD;28.01.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
132;APD;Air Products & Chemicals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0091581068;ESVUFN;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
133;APEI;American Public Education, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02913V1035;ESVUFR;1,00;0,01;USD;11.06.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
134;APH;Amphenol Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US0320951017;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
135;APLE;Apple Hospitality REIT, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03784Y2000;ESVUFR;1,00;0,01;USD;21.01.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
136;APLS;Apellis Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03753U1060;ESVUFR;1,00;0,01;USD;28.01.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
